"Project Organization","Expenditure Month Year","Total Expenditure Amount","Expenditure Date"
"Kinesiology & Health","2023-12",2320.49,2023-12-01
"Kinesiology & Health","2024-01",9978.09,2024-01-01
"Kinesiology & Health","2024-02",1620.04,2024-02-01
"Kinesiology & Health","2024-03",1471.43,2024-03-01
"Kinesiology & Health","2024-04",376.35,2024-04-01
"Kinesiology & Health","2024-05",1630.22,2024-05-01
"Kinesiology & Health","2024-06",1103.34,2024-06-01
"Kinesiology & Health","2024-07",5620.9,2024-07-01
"Kinesiology & Health","2024-08",6814.58,2024-08-01
"Kinesiology & Health","2024-09",5175.45,2024-09-01
"Kinesiology & Health","2024-10",4973.32,2024-10-01
"Kinesiology & Health","2024-11",6097.69,2024-11-01
"Kinesiology & Health","2024-12",4540.32,2024-12-01
"Kinesiology & Health","2025-01",3060.41,2025-01-01
"Kinesiology & Health","2025-02",4225.04,2025-02-01
"Kinesiology & Health","2025-03",4549.54,2025-03-01
"Kinesiology & Health","2025-04",4426.35,2025-04-01
"Kinesiology & Health","2025-05",1494.07,2025-05-01
"Kinesiology & Health","2025-06",130,2025-06-01
"Libraries Deans Office","2021-09",9361.42,2021-09-01
"Libraries Deans Office","2021-10",1827.48,2021-10-01
"Libraries Deans Office","2021-11",1827.48,2021-11-01
"Libraries Deans Office","2021-12",1827.48,2021-12-01
"Libraries Deans Office","2022-01",2138.29,2022-01-01
"Libraries Deans Office","2022-02",2592.82,2022-02-01
"Libraries Deans Office","2022-03",2093.36,2022-03-01
"Libraries Deans Office","2022-04",2004.77,2022-04-01
"Libraries Deans Office","2022-05",2149.97,2022-05-01
"Libraries Deans Office","2022-06",2319.97,2022-06-01
"Libraries Deans Office","2022-07",409.11,2022-07-01
"Libraries Deans Office","2022-08",943.52,2022-08-01
"Libraries Deans Office","2022-09",835.38,2022-09-01
"Libraries Deans Office","2022-10",988.7,2022-10-01
"Libraries Deans Office","2022-11",409.11,2022-11-01
"Libraries Deans Office","2022-12",409.11,2022-12-01
"Libraries Deans Office","2023-01",409.11,2023-01-01
"Libraries Deans Office","2023-02",686.09,2023-02-01
"Libraries Deans Office","2023-03",769.6,2023-03-01
"Libraries Deans Office","2023-04",590.8,2023-04-01
"Libraries Deans Office","2023-05",2226.93,2023-05-01
"Libraries Deans Office","2023-06",2226.93,2023-06-01
"Libraries Deans Office","2023-07",2273.62,2023-07-01
"Libraries Deans Office","2023-08",2420.6,2023-08-01
"Libraries Deans Office","2023-09",2273.62,2023-09-01
"Libraries Deans Office","2023-10",2273.62,2023-10-01
"Libraries Deans Office","2023-11",2273.62,2023-11-01
"Libraries Deans Office","2023-12",2273.62,2023-12-01
"Libraries Deans Office","2024-01",2273.62,2024-01-01
"Libraries Deans Office","2024-02",2273.62,2024-02-01
"Libraries Deans Office","2024-03",2273.62,2024-03-01
"Libraries Deans Office","2024-04",2273.62,2024-04-01
"Libraries Deans Office","2024-05",2660.61,2024-05-01
"Libraries Deans Office","2024-06",2461.32,2024-06-01
"Libraries Deans Office","2024-07",2238.12,2024-07-01
"Libraries Deans Office","2024-08",2309.52,2024-08-01
"Libraries Deans Office","2024-09",2894.9,2024-09-01
"Libraries Deans Office","2024-10",2430.62,2024-10-01
"Libraries Deans Office","2024-11",2506.81,2024-11-01
"Libraries Deans Office","2024-12",2238.12,2024-12-01
"Libraries Deans Office","2025-01",2379.22,2025-01-01
"Libraries Deans Office","2025-02",2238.12,2025-02-01
"Libraries Deans Office","2025-03",2238.12,2025-03-01
"Libraries Deans Office","2025-04",2501.28,2025-04-01
"Libraries Education & Research Services","2021-07",1737.77,2021-07-01
"Libraries Education & Research Services","2021-08",1626.08,2021-08-01
"Libraries Education & Research Services","2021-09",1675.16,2021-09-01
"Libraries Education & Research Services","2021-10",2425.95,2021-10-01
"Libraries Education & Research Services","2021-11",1659.11,2021-11-01
"Libraries Education & Research Services","2021-12",1571.19,2021-12-01
"Libraries Education & Research Services","2022-01",1732.61,2022-01-01
"Libraries Education & Research Services","2022-02",1702.15,2022-02-01
"Libraries Education & Research Services","2022-03",1630.83,2022-03-01
"Libraries Education & Research Services","2022-04",1891.1,2022-04-01
"Libraries Education & Research Services","2022-05",1634.19,2022-05-01
"Libraries Education & Research Services","2022-06",1760.82,2022-06-01
"Libraries Education & Research Services","2022-07",1751.54,2022-07-01
"Libraries Education & Research Services","2022-08",2007.83,2022-08-01
"Libraries Education & Research Services","2022-09",2914.88,2022-09-01
"Libraries Education & Research Services","2022-10",2028.79,2022-10-01
"Libraries Education & Research Services","2022-11",1793.08,2022-11-01
"Libraries Education & Research Services","2022-12",1869.02,2022-12-01
"Libraries Education & Research Services","2023-01",1702.6,2023-01-01
"Libraries Education & Research Services","2023-02",1869.02,2023-02-01
"Libraries Education & Research Services","2023-03",1877.56,2023-03-01
"Libraries Education & Research Services","2023-04",2034.49,2023-04-01
"Libraries Education & Research Services","2023-05",1830.24,2023-05-01
"Libraries Education & Research Services","2023-06",1836.87,2023-06-01
"Libraries Education & Research Services","2023-07",1956.34,2023-07-01
"Libraries Education & Research Services","2023-08",1656.47,2023-08-01
"Libraries Education & Research Services","2023-09",10661.28,2023-09-01
"Libraries Education & Research Services","2023-10",2222.09,2023-10-01
"Libraries Education & Research Services","2023-11",1945.42,2023-11-01
"Libraries Education & Research Services","2023-12",1998.7,2023-12-01
"Libraries Education & Research Services","2024-01",2124.16,2024-01-01
"Libraries Education & Research Services","2024-02",1791.85,2024-02-01
"Libraries Education & Research Services","2024-03",2010.04,2024-03-01
"Libraries Education & Research Services","2024-04",2007.88,2024-04-01
"Libraries Education & Research Services","2024-05",2016.7,2024-05-01
"Libraries Education & Research Services","2024-06",2071.06,2024-06-01
"Libraries Education & Research Services","2024-07",1931.38,2024-07-01
"Libraries Education & Research Services","2024-08",1927.95,2024-08-01
"Libraries Education & Research Services","2024-09",2586.1,2024-09-01
"Libraries Education & Research Services","2024-10",2142.45,2024-10-01
"Libraries Education & Research Services","2024-11",2035.54,2024-11-01
"Libraries Education & Research Services","2024-12",1994.6,2024-12-01
"Libraries Education & Research Services","2025-01",1992.18,2025-01-01
"Libraries Education & Research Services","2025-02",1923.54,2025-02-01
"Libraries Education & Research Services","2025-03",1965.67,2025-03-01
"Manufacturing Works","2021-07",10948.57,2021-07-01
"Manufacturing Works","2021-08",14933.02,2021-08-01
"Manufacturing Works","2021-09",16423.17,2021-09-01
"Manufacturing Works","2021-10",12262.46,2021-10-01
"Manufacturing Works","2021-11",11836.86,2021-11-01
"Manufacturing Works","2021-12",15219.53,2021-12-01
"Manufacturing Works","2022-01",10991.6,2022-01-01
"Manufacturing Works","2022-02",12975.76,2022-02-01
"Manufacturing Works","2022-03",18239.42,2022-03-01
"Manufacturing Works","2022-04",11385.51,2022-04-01
"Manufacturing Works","2022-05",13537.81,2022-05-01
"Manufacturing Works","2022-06",11136.17,2022-06-01
"Manufacturing Works","2022-07",14995.26,2022-07-01
"Manufacturing Works","2022-08",14618.43,2022-08-01
"Manufacturing Works","2022-09",15442.89,2022-09-01
"Manufacturing Works","2022-10",16154.84,2022-10-01
"Manufacturing Works","2022-11",15077.09,2022-11-01
"Manufacturing Works","2022-12",15180.78,2022-12-01
"Manufacturing Works","2023-01",16883.58,2023-01-01
"Manufacturing Works","2023-02",13960.02,2023-02-01
"Manufacturing Works","2023-03",17446.85,2023-03-01
"Manufacturing Works","2023-04",17928.06,2023-04-01
"Manufacturing Works","2023-05",13556.41,2023-05-01
"Manufacturing Works","2023-06",14376.74,2023-06-01
"Manufacturing Works","2023-07",14942.34,2023-07-01
"Manufacturing Works","2023-08",25495.7,2023-08-01
"Manufacturing Works","2023-09",18766.96,2023-09-01
"Manufacturing Works","2023-10",18021.91,2023-10-01
"Manufacturing Works","2023-11",17406.02,2023-11-01
"Manufacturing Works","2023-12",15412.07,2023-12-01
"Manufacturing Works","2024-01",17486.51,2024-01-01
"Manufacturing Works","2024-02",14610.65,2024-02-01
"Manufacturing Works","2024-03",15474.6,2024-03-01
"Manufacturing Works","2024-04",21080.53,2024-04-01
"Manufacturing Works","2024-05",19073.52,2024-05-01
"Manufacturing Works","2024-06",17640.82,2024-06-01
"Manufacturing Works","2024-07",22661.01,2024-07-01
"Manufacturing Works","2024-08",14466.62,2024-08-01
"Manufacturing Works","2024-09",18352.38,2024-09-01
"Manufacturing Works","2024-10",21113.96,2024-10-01
"Manufacturing Works","2024-11",21163.15,2024-11-01
"Manufacturing Works","2024-12",23624.23,2024-12-01
"Manufacturing Works","2025-01",20942.43,2025-01-01
"Manufacturing Works","2025-02",22053.69,2025-02-01
"Manufacturing Works","2025-03",17616.39,2025-03-01
"Manufacturing Works","2025-04",9363.86,2025-04-01
"Manufacturing Works","2025-05",16650.71,2025-05-01
"Manufacturing Works","2025-06",332.82,2025-06-01
"Mathematics & Statistics","2021-07",9321.18,2021-07-01
"Mathematics & Statistics","2021-08",2154.52,2021-08-01
"Mathematics & Statistics","2021-09",4114.36,2021-09-01
"Mathematics & Statistics","2021-10",3246.84,2021-10-01
"Mathematics & Statistics","2021-11",2391.98,2021-11-01
"Mathematics & Statistics","2021-12",3447.13,2021-12-01
"Mathematics & Statistics","2022-01",3491.59,2022-01-01
"Mathematics & Statistics","2022-02",3379.63,2022-02-01
"Mathematics & Statistics","2022-03",4558.15,2022-03-01
"Mathematics & Statistics","2022-04",3668.12,2022-04-01
"Mathematics & Statistics","2022-05",11573.63,2022-05-01
"Mathematics & Statistics","2022-06",15528.7,2022-06-01
"Mathematics & Statistics","2022-07",5198.18,2022-07-01
"Mathematics & Statistics","2022-08",10220.15,2022-08-01
"Mathematics & Statistics","2022-09",13679.83,2022-09-01
"Mathematics & Statistics","2022-10",8334.83,2022-10-01
"Mathematics & Statistics","2022-11",9100.01,2022-11-01
"Mathematics & Statistics","2022-12",9429.02,2022-12-01
"Mathematics & Statistics","2023-01",10696.22,2023-01-01
"Mathematics & Statistics","2023-02",10962.81,2023-02-01
"Mathematics & Statistics","2023-03",11107.85,2023-03-01
"Mathematics & Statistics","2023-04",10518.94,2023-04-01
"Mathematics & Statistics","2023-05",31188.27,2023-05-01
"Mathematics & Statistics","2023-06",19921.89,2023-06-01
"Mathematics & Statistics","2023-07",16777.07,2023-07-01
"Mathematics & Statistics","2023-08",15534.8,2023-08-01
"Mathematics & Statistics","2023-09",9503.43,2023-09-01
"Mathematics & Statistics","2023-10",7873.66,2023-10-01
"Mathematics & Statistics","2023-11",8446.71,2023-11-01
"Mathematics & Statistics","2023-12",6577.36,2023-12-01
"Mathematics & Statistics","2024-01",8632.63,2024-01-01
"Mathematics & Statistics","2024-02",4803.94,2024-02-01
"Mathematics & Statistics","2024-03",6261.96,2024-03-01
"Mathematics & Statistics","2024-04",6206.08,2024-04-01
"Mathematics & Statistics","2024-05",9878.29,2024-05-01
"Mathematics & Statistics","2024-06",23895.59,2024-06-01
"Mathematics & Statistics","2024-07",36384.18,2024-07-01
"Mathematics & Statistics","2024-08",3707.31,2024-08-01
"Mathematics & Statistics","2024-09",7140.83,2024-09-01
"Mathematics & Statistics","2024-10",4677.95,2024-10-01
"Mathematics & Statistics","2024-11",2717.68,2024-11-01
"Mathematics & Statistics","2024-12",2946.63,2024-12-01
"Mathematics & Statistics","2025-01",3600.48,2025-01-01
"Mathematics & Statistics","2025-02",2724.81,2025-02-01
"Mathematics & Statistics","2025-03",3912.62,2025-03-01
"Mathematics & Statistics","2025-04",4906.1,2025-04-01
"Mathematics & Statistics","2025-05",2718.66,2025-05-01
"Mathematics & Statistics","2025-06",116.27,2025-06-01
"Mechanical Engineering","2021-07",67512.97,2021-07-01
"Mechanical Engineering","2021-08",40760.81,2021-08-01
"Mechanical Engineering","2021-09",18667.61,2021-09-01
"Mechanical Engineering","2021-10",19404.24,2021-10-01
"Mechanical Engineering","2021-11",22840.97,2021-11-01
"Mechanical Engineering","2021-12",19303.23,2021-12-01
"Mechanical Engineering","2022-01",24023.08,2022-01-01
"Mechanical Engineering","2022-02",24033.11,2022-02-01
"Mechanical Engineering","2022-03",22853.32,2022-03-01
"Mechanical Engineering","2022-04",19569.29,2022-04-01
"Mechanical Engineering","2022-05",32610.41,2022-05-01
"Mechanical Engineering","2022-06",39534.44,2022-06-01
"Mechanical Engineering","2022-07",35685.05,2022-07-01
"Mechanical Engineering","2022-08",37941.21,2022-08-01
"Mechanical Engineering","2022-09",20953.51,2022-09-01
"Mechanical Engineering","2022-10",14533.16,2022-10-01
"Mechanical Engineering","2022-11",6457.35,2022-11-01
"Mechanical Engineering","2022-12",5292.1,2022-12-01
"Mechanical Engineering","2023-01",3024.44,2023-01-01
"Mechanical Engineering","2023-02",4961,2023-02-01
"Mechanical Engineering","2023-03",8156.56,2023-03-01
"Mechanical Engineering","2023-04",6750.07,2023-04-01
"Mechanical Engineering","2023-05",11082.89,2023-05-01
"Mechanical Engineering","2023-06",6559.28,2023-06-01
"Mechanical Engineering","2023-07",57475.33,2023-07-01
"Mechanical Engineering","2023-08",20339.64,2023-08-01
"Mechanical Engineering","2023-09",4177.59,2023-09-01
"Mechanical Engineering","2023-10",4050.08,2023-10-01
"Mechanical Engineering","2023-11",7361.91,2023-11-01
"Mechanical Engineering","2023-12",9653.96,2023-12-01
"Mechanical Engineering","2024-01",1515.4,2024-01-01
"Mechanical Engineering","2024-02",2190.25,2024-02-01
"Mechanical Engineering","2024-03",1039.25,2024-03-01
"Mechanical Engineering","2024-04",2959.61,2024-04-01
"Mechanical Engineering","2024-05",3680.28,2024-05-01
"Mechanical Engineering","2024-06",24234.92,2024-06-01
"Mechanical Engineering","2024-07",15048.7,2024-07-01
"Mechanical Engineering","2024-08",16775.24,2024-08-01
"Mechanical Engineering","2024-09",9783.84,2024-09-01
"Mechanical Engineering","2024-10",9842.74,2024-10-01
"Mechanical Engineering","2024-11",9008.85,2024-11-01
"Mechanical Engineering","2024-12",9447.52,2024-12-01
"Mechanical Engineering","2025-01",15338.84,2025-01-01
"Mechanical Engineering","2025-02",10737.87,2025-02-01
"Mechanical Engineering","2025-03",15757.17,2025-03-01
"Mechanical Engineering","2025-04",10592.12,2025-04-01
"Mechanical Engineering","2025-05",16280.59,2025-05-01
"Molecular Biology","2021-07",132891.87,2021-07-01
"Molecular Biology","2021-08",104453.58,2021-08-01
"Molecular Biology","2021-09",71769.68,2021-09-01
"Molecular Biology","2021-10",84695.01,2021-10-01
"Molecular Biology","2021-11",76581.78,2021-11-01
"Molecular Biology","2021-12",67505.84,2021-12-01
"Molecular Biology","2022-01",71318.65,2022-01-01
"Molecular Biology","2022-02",81639.39,2022-02-01
"Molecular Biology","2022-03",79689.5,2022-03-01
"Molecular Biology","2022-04",80174.86,2022-04-01
"Molecular Biology","2022-05",103630.01,2022-05-01
"Molecular Biology","2022-06",141578.95,2022-06-01
"Molecular Biology","2022-07",146042.97,2022-07-01
"Molecular Biology","2022-08",125869.41,2022-08-01
"Molecular Biology","2022-09",104885.74,2022-09-01
"Molecular Biology","2022-10",86296.75,2022-10-01
"Molecular Biology","2022-11",92854.95,2022-11-01
"Molecular Biology","2022-12",117041.41,2022-12-01
"Molecular Biology","2023-01",84562.67,2023-01-01
"Molecular Biology","2023-02",94454.38,2023-02-01
"Molecular Biology","2023-03",91252.95,2023-03-01
"Molecular Biology","2023-04",81713.26,2023-04-01
"Molecular Biology","2023-05",126546.72,2023-05-01
"Molecular Biology","2023-06",162596.49,2023-06-01
"Molecular Biology","2023-07",157188.48,2023-07-01
"Molecular Biology","2023-08",133357.89,2023-08-01
"Molecular Biology","2023-09",99015.51,2023-09-01
"Molecular Biology","2023-10",85450.65,2023-10-01
"Molecular Biology","2023-11",76282.08,2023-11-01
"Molecular Biology","2023-12",74546.01,2023-12-01
"Molecular Biology","2024-01",82807.36,2024-01-01
"Molecular Biology","2024-02",94915.62,2024-02-01
"Molecular Biology","2024-03",80323.96,2024-03-01
"Molecular Biology","2024-04",68766.28,2024-04-01
"Molecular Biology","2024-05",92627.25,2024-05-01
"Molecular Biology","2024-06",125746.9,2024-06-01
"Molecular Biology","2024-07",106882.38,2024-07-01
"Molecular Biology","2024-08",113199.92,2024-08-01
"Molecular Biology","2024-09",78241.91,2024-09-01
"Molecular Biology","2024-10",79239.39,2024-10-01
"Molecular Biology","2024-11",56700.74,2024-11-01
"Molecular Biology","2024-12",56697.65,2024-12-01
"Molecular Biology","2025-01",49806.14,2025-01-01
"Molecular Biology","2025-02",62243.02,2025-02-01
"Molecular Biology","2025-03",66199.5,2025-03-01
"Molecular Biology","2025-04",57865.32,2025-04-01
"Molecular Biology","2025-05",74191.76,2025-05-01
"Molecular Biology","2025-06",1269.73,2025-06-01
"Music","2022-08",67.52,2022-08-01
"Music","2022-09",63.82,2022-09-01
"Music","2022-11",21.23,2022-11-01
"Music","2022-12",109.14,2022-12-01
"Music","2023-03",306.58,2023-03-01
"Music","2023-05",118.8,2023-05-01
"Music","2025-03",102.64,2025-03-01
"Music","2025-04",197.28,2025-04-01
"Music","2025-05",366.32,2025-05-01
"Office of Sponsored Programs","2024-03",-0.04,2024-03-01
"Office of Sponsored Programs","2024-05",0.52,2024-05-01
"Physics & Astronomy","2021-07",98684.44,2021-07-01
"Physics & Astronomy","2021-08",37637.52,2021-08-01
"Physics & Astronomy","2021-09",30260.29,2021-09-01
"Physics & Astronomy","2021-10",15027.32,2021-10-01
"Physics & Astronomy","2021-11",22657.23,2021-11-01
"Physics & Astronomy","2021-12",16162.73,2021-12-01
"Physics & Astronomy","2022-01",21015.88,2022-01-01
"Physics & Astronomy","2022-02",15752.2,2022-02-01
"Physics & Astronomy","2022-03",23848.71,2022-03-01
"Physics & Astronomy","2022-04",16722.85,2022-04-01
"Physics & Astronomy","2022-05",25191.85,2022-05-01
"Physics & Astronomy","2022-06",37660.5,2022-06-01
"Physics & Astronomy","2022-07",40359.55,2022-07-01
"Physics & Astronomy","2022-08",42016.91,2022-08-01
"Physics & Astronomy","2022-09",37924.43,2022-09-01
"Physics & Astronomy","2022-10",53995.66,2022-10-01
"Physics & Astronomy","2022-11",28312.31,2022-11-01
"Physics & Astronomy","2022-12",24073.6,2022-12-01
"Physics & Astronomy","2023-01",23053.62,2023-01-01
"Physics & Astronomy","2023-02",34037.2,2023-02-01
"Physics & Astronomy","2023-03",56498.11,2023-03-01
"Physics & Astronomy","2023-04",49762.85,2023-04-01
"Physics & Astronomy","2023-05",32733.95,2023-05-01
"Physics & Astronomy","2023-06",37862.35,2023-06-01
"Physics & Astronomy","2023-07",61357.61,2023-07-01
"Physics & Astronomy","2023-08",65604.25,2023-08-01
"Physics & Astronomy","2023-09",44706.37,2023-09-01
"Physics & Astronomy","2023-10",42649.18,2023-10-01
"Physics & Astronomy","2023-11",33651.32,2023-11-01
"Physics & Astronomy","2023-12",26384.05,2023-12-01
"Physics & Astronomy","2024-01",29270.05,2024-01-01
"Physics & Astronomy","2024-02",29527.39,2024-02-01
"Physics & Astronomy","2024-03",32749.77,2024-03-01
"Physics & Astronomy","2024-04",25965.09,2024-04-01
"Physics & Astronomy","2024-05",55408.15,2024-05-01
"Physics & Astronomy","2024-06",68071.94,2024-06-01
"Physics & Astronomy","2024-07",75682.29,2024-07-01
"Physics & Astronomy","2024-08",59297.21,2024-08-01
"Physics & Astronomy","2024-09",44279.41,2024-09-01
"Physics & Astronomy","2024-10",40279.24,2024-10-01
"Physics & Astronomy","2024-11",31580.58,2024-11-01
"Physics & Astronomy","2024-12",32060.3,2024-12-01
"Physics & Astronomy","2025-01",38380.37,2025-01-01
"Physics & Astronomy","2025-02",47141.74,2025-02-01
"Physics & Astronomy","2025-03",36732.46,2025-03-01
"Physics & Astronomy","2025-04",33688.4,2025-04-01
"Physics & Astronomy","2025-05",54894.53,2025-05-01
"Plant Sciences","2021-07",15584.34,2021-07-01
"Plant Sciences","2021-08",6902.56,2021-08-01
"Plant Sciences","2021-09",6026.36,2021-09-01
"Plant Sciences","2021-10",4586.11,2021-10-01
"Plant Sciences","2021-11",4927.65,2021-11-01
"Plant Sciences","2021-12",12131.65,2021-12-01
"Plant Sciences","2022-01",3560.32,2022-01-01
"Plant Sciences","2022-02",3045.09,2022-02-01
"Plant Sciences","2022-03",3710.23,2022-03-01
"Plant Sciences","2022-04",5639.09,2022-04-01
"Plant Sciences","2022-05",4267.39,2022-05-01
"Plant Sciences","2022-06",16636.58,2022-06-01
"Plant Sciences","2022-07",9593.26,2022-07-01
"Plant Sciences","2022-08",8595.2,2022-08-01
"Plant Sciences","2022-09",14749.17,2022-09-01
"Plant Sciences","2022-10",5109.08,2022-10-01
"Plant Sciences","2022-11",3061.99,2022-11-01
"Plant Sciences","2022-12",3735.45,2022-12-01
"Plant Sciences","2023-01",1653.94,2023-01-01
"Plant Sciences","2023-02",2657.84,2023-02-01
"Plant Sciences","2023-03",5124.22,2023-03-01
"Plant Sciences","2023-04",3506.04,2023-04-01
"Plant Sciences","2023-05",4089.3,2023-05-01
"Plant Sciences","2023-06",11074.38,2023-06-01
"Plant Sciences","2023-07",15031.58,2023-07-01
"Plant Sciences","2023-08",11762.34,2023-08-01
"Plant Sciences","2023-09",2911.46,2023-09-01
"Plant Sciences","2023-10",3401.27,2023-10-01
"Plant Sciences","2023-11",4912.61,2023-11-01
"Plant Sciences","2023-12",2618.36,2023-12-01
"Plant Sciences","2024-01",6178.62,2024-01-01
"Plant Sciences","2024-02",3584.92,2024-02-01
"Plant Sciences","2024-03",5158.74,2024-03-01
"Plant Sciences","2024-04",6155.61,2024-04-01
"Plant Sciences","2024-05",7362.24,2024-05-01
"Plant Sciences","2024-06",7172.22,2024-06-01
"Plant Sciences","2024-07",15246.96,2024-07-01
"Plant Sciences","2024-08",5629.47,2024-08-01
"Plant Sciences","2024-09",8165.95,2024-09-01
"Plant Sciences","2024-10",7456.93,2024-10-01
"Plant Sciences","2024-11",9316.82,2024-11-01
"Plant Sciences","2024-12",7675.97,2024-12-01
"Plant Sciences","2025-01",10046.83,2025-01-01
"Plant Sciences","2025-02",7196.97,2025-02-01
"Plant Sciences","2025-03",5467.46,2025-03-01
"Plant Sciences","2025-04",6043.66,2025-04-01
"Plant Sciences","2025-05",14968.86,2025-05-01
"Plant Sciences","2025-06",994.87,2025-06-01
"Politics Public Affairs & International Studies","2021-09",592.34,2021-09-01
"Politics Public Affairs & International Studies","2021-10",5254.88,2021-10-01
"Politics Public Affairs & International Studies","2021-11",3404.36,2021-11-01
"Politics Public Affairs & International Studies","2021-12",6933.34,2021-12-01
"Politics Public Affairs & International Studies","2022-01",3206.76,2022-01-01
"Politics Public Affairs & International Studies","2022-02",3175.32,2022-02-01
"Politics Public Affairs & International Studies","2022-03",5045.2,2022-03-01
"Politics Public Affairs & International Studies","2022-04",8438.58,2022-04-01
"Politics Public Affairs & International Studies","2022-05",5065.93,2022-05-01
"Politics Public Affairs & International Studies","2022-06",12419.65,2022-06-01
"Politics Public Affairs & International Studies","2022-07",5317.35,2022-07-01
"Politics Public Affairs & International Studies","2022-08",15069.94,2022-08-01
"Politics Public Affairs & International Studies","2022-09",12342.58,2022-09-01
"Politics Public Affairs & International Studies","2022-10",10236.41,2022-10-01
"Politics Public Affairs & International Studies","2022-11",6810.29,2022-11-01
"Politics Public Affairs & International Studies","2022-12",7620.09,2022-12-01
"Politics Public Affairs & International Studies","2023-01",5044.62,2023-01-01
"Politics Public Affairs & International Studies","2023-02",5681.9,2023-02-01
"Politics Public Affairs & International Studies","2023-03",4887.78,2023-03-01
"Politics Public Affairs & International Studies","2023-04",7197.21,2023-04-01
"Politics Public Affairs & International Studies","2023-05",10381.19,2023-05-01
"Politics Public Affairs & International Studies","2023-06",11222.73,2023-06-01
"Politics Public Affairs & International Studies","2023-07",26464.21,2023-07-01
"Politics Public Affairs & International Studies","2023-08",13627.26,2023-08-01
"Politics Public Affairs & International Studies","2023-09",10964.43,2023-09-01
"Politics Public Affairs & International Studies","2023-10",6997.09,2023-10-01
"Politics Public Affairs & International Studies","2023-11",30421.06,2023-11-01
"Politics Public Affairs & International Studies","2023-12",8577.01,2023-12-01
"Politics Public Affairs & International Studies","2024-01",6552.67,2024-01-01
"Politics Public Affairs & International Studies","2024-02",11030.29,2024-02-01
"Politics Public Affairs & International Studies","2024-03",14733.87,2024-03-01
"Politics Public Affairs & International Studies","2024-04",18424.37,2024-04-01
"Politics Public Affairs & International Studies","2024-05",11375.4,2024-05-01
"Politics Public Affairs & International Studies","2024-06",15759.58,2024-06-01
"Politics Public Affairs & International Studies","2024-07",10903.23,2024-07-01
"Politics Public Affairs & International Studies","2024-08",12545.27,2024-08-01
"Politics Public Affairs & International Studies","2024-09",7951.26,2024-09-01
"Politics Public Affairs & International Studies","2024-10",3124.95,2024-10-01
"Politics Public Affairs & International Studies","2024-11",2047.42,2024-11-01
"Politics Public Affairs & International Studies","2024-12",2204.47,2024-12-01
"Politics Public Affairs & International Studies","2025-01",1674.47,2025-01-01
"Politics Public Affairs & International Studies","2025-02",1674.66,2025-02-01
"Politics Public Affairs & International Studies","2025-03",3219.45,2025-03-01
"Politics Public Affairs & International Studies","2025-04",3069.21,2025-04-01
"Politics Public Affairs & International Studies","2025-05",1683.98,2025-05-01
"Provosts Office","2023-07",154.97,2023-07-01
"Psychology","2021-07",32452.32,2021-07-01
"Psychology","2021-08",18179.12,2021-08-01
"Psychology","2021-09",13234.97,2021-09-01
"Psychology","2021-10",11689.05,2021-10-01
"Psychology","2021-11",11239.03,2021-11-01
"Psychology","2021-12",26424.02,2021-12-01
"Psychology","2022-01",12619.71,2022-01-01
"Psychology","2022-02",12778.2,2022-02-01
"Psychology","2022-03",14924.08,2022-03-01
"Psychology","2022-04",13253.06,2022-04-01
"Psychology","2022-05",18990.87,2022-05-01
"Psychology","2022-06",33164.54,2022-06-01
"Psychology","2022-07",31601.02,2022-07-01
"Psychology","2022-08",20076.78,2022-08-01
"Psychology","2022-09",22685.24,2022-09-01
"Psychology","2022-10",11788.72,2022-10-01
"Psychology","2022-11",13874.83,2022-11-01
"Psychology","2022-12",15396.66,2022-12-01
"Psychology","2023-01",11229.4,2023-01-01
"Psychology","2023-02",12388.52,2023-02-01
"Psychology","2023-03",7528.04,2023-03-01
"Psychology","2023-04",15693.26,2023-04-01
"Psychology","2023-05",14162.43,2023-05-01
"Psychology","2023-06",17888.79,2023-06-01
"Psychology","2023-07",22712.93,2023-07-01
"Psychology","2023-08",10875.06,2023-08-01
"Psychology","2023-09",15978.23,2023-09-01
"Psychology","2023-10",17266.37,2023-10-01
"Psychology","2023-11",14653.67,2023-11-01
"Psychology","2023-12",15423.55,2023-12-01
"Psychology","2024-01",11919.46,2024-01-01
"Psychology","2024-02",12743.46,2024-02-01
"Psychology","2024-03",15211.7,2024-03-01
"Psychology","2024-04",14247.55,2024-04-01
"Psychology","2024-05",25794.05,2024-05-01
"Psychology","2024-06",33805.49,2024-06-01
"Psychology","2024-07",20960.97,2024-07-01
"Psychology","2024-08",22980.51,2024-08-01
"Psychology","2024-09",11847.86,2024-09-01
"Psychology","2024-10",26673,2024-10-01
"Psychology","2024-11",14337.8,2024-11-01
"Psychology","2024-12",14844.53,2024-12-01
"Psychology","2025-01",12386.43,2025-01-01
"Psychology","2025-02",12517.53,2025-02-01
"Psychology","2025-03",13981.74,2025-03-01
"Psychology","2025-04",13365.58,2025-04-01
"Psychology","2025-05",19593.47,2025-05-01
"Psychology","2025-06",131.69,2025-06-01
"R&E Center Laramie","2025-04",61.43,2025-04-01
"Rural Health","2023-01",2008.5,2023-01-01
"Rural Health","2023-02",669.5,2023-02-01
"Rural Health","2023-03",669.5,2023-03-01
"Rural Health","2023-04",832.97,2023-04-01
"Rural Health","2023-05",892.6,2023-05-01
"Rural Health","2023-06",892.6,2023-06-01
"Rural Health","2023-07",1032.12,2023-07-01
