"Project Number","Project Fund Source","Project Funding Type","Project Designation","Project Type","Award Type","Number_of_Project_as_Principal_Investigator","Total_project_person","Project_duration","Academic_Semester","Project Funding Amount","Expense_starting_days"
"231618A0001","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",3,4,667,"Fall",283426,0
"231619A0001","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",3,5,730,"Fall",228537,245
"231620A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",6,9,729,"Fall",8997490,30
"231621A0001","State","Federal","Award Project","UW Grant","Public Service - Sponsored",2,3,1460,"Summer",918192,24
"231622A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",2,3,1764,"Fall",250000,49
"231638A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",2,7,1095,"Fall",1e+05,57
"231644A0001","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",2,3,1094,"Summer",99999,38
"231647A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,10,729,"Spring",998968,99
"231647A0002","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",2,10,667,"Spring",999925,90
"231655A0001","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",13,5,2040,"Spring",215000,5
"231656A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,7,1095,"Summer",325841,61
"231664A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",3,4,1826,"Fall",20000,41
"231667A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,5,820,"Spring",648931,15
"231668A0001A","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,5,1125,"Summer",513595,29
"231676A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",11,4,660,"Spring",115000,44
"231681A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",2,5,1363,"Summer",75000,4
"231683A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,6,716,"Fall",397375,42
"231700A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,5,1812,"Summer",699527,8
"231711A0001","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",2,4,1095,"Fall",69816,323
"231712A0002","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",12,4,306,"Summer",24450,64
"231713A0002","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",12,4,306,"Summer",7500,3
"231723A0001","Institutions of Higher Education","Federal","Award Project","UW Grant","Public Service - Sponsored",8,9,730,"Summer",23398.76,273
"231733A0001","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",2,4,1781,"Summer",30000,77
