"Project Number","Project Fund Source","Project Funding Type","Project Designation","Project Type","Award Type","Number_of_Project_as_Principal_Investigator","Total_project_person","Project_duration","Academic_Semester","Project Funding Amount","Expense_starting_days"
"1001455","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",8,20,5548,"Fall",253875,831
"1001800F","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",42,3,2009,"Spring",138965.77,5
"1001814","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",4,15,6604,"Fall",166050,89
"1002184","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",4,15,6641,"Fall",166550,248
"1002237","Institutions of Higher Education","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",1,14,4351,"Spring",60000,333
"1002758I","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",13,7,364,"Summer",96750,16
"1003428","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",4,14,5584,"Fall",72000,1201
"1003692","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",12,16,3064,"Summer",3500,364
"1003828","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",6,14,3012,"Spring",53300,0
"1003943","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",1,13,4721,"Fall",3156832.08,316
"1004183","Industry","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",6,7,3664,"Fall",83882.97,695
"1004308B","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",3,6,1674,"Summer",556930,14
"1004308C","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",3,5,1094,"Spring",532828,135
"1004321E","Others","Non-Federal","Award Project","UW Grant","Instruction - Sponsored",3,6,1460,"Summer",223448.22,0
"1004332","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",3,14,2375,"Summer",2519096.53,30
"1004332A","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",3,14,2375,"Summer",325362.47,98
"1004359M","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",10,6,580,"Summer",792071.85,0
"1004359N","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",10,6,549,"Summer",114779.01,0
"1004361","State","Federal","Award Project","UW Grant","Public Service - Sponsored",2,8,2648,"Summer",18,42
"1004361D","State","Federal","Award Project","UW Grant","Public Service - Sponsored",2,5,2648,"Summer",790408.43,836
"1004373","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",11,6,2177,"Spring",159576.82,138
"1004409","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,9,1978,"Spring",244235,487
"1004486","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",3,12,2191,"Fall",7833908,35
"1004515","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",16,9,2191,"Spring",3060000,0
"1004515D","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",16,9,2191,"Spring",6e+06,90
"1004517","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",16,11,2191,"Fall",7661816,22
"1004517CS-2","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",16,3,2191,"Fall",100710.5,488
"1004519B","State","Federal","Award Project","UW Grant","Research - Sponsored",10,9,2113,"Fall",484771.65,653
"1004519C","State","Federal","Award Project","UW Grant","Research - Sponsored",10,9,2113,"Fall",511868.34,623
"1004519D","State","Federal","Award Project","UW Grant","Research - Sponsored",10,7,2113,"Fall",23902.88,1688
"1004542","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",4,7,2284,"Fall",396000,80
"1004574D","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,4,609,"Spring",611235,0
"1004606","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",1,10,2191,"Spring",21500,11
"1004616","State","Federal","Award Project","UW Grant","Research - Sponsored",1,12,1448,"Spring",119847.2,169
"1004685","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",2,11,1825,"Summer",231164,30
"1004709","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",2,9,1948,"Spring",1491791,91
"1004769A","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",1,4,426,"Spring",28028,14
"1004809","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",4,10,1825,"Fall",3750392,44
"1004809UM","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",4,8,1825,"Fall",865931,10
"1004809UNR","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",4,8,1825,"Fall",1378488,20
"1004829","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,15,1825,"Fall",1633540,14
"1004841","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",2,11,1825,"Fall",176729.49,56
"1004858CS1","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",23,4,1825,"Summer",4543.52,882
"1004925","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",2,14,1825,"Fall",33600,232
"1004933C","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",3,9,1675,"Fall",929030.5,465
"1004933D","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",3,8,1675,"Fall",41849.72,1087
"1004956","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",11,6,1706,"Fall",63000,33
"1004961","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",32,12,1825,"Fall",43951,962
"1004961CS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",32,12,1825,"Fall",43951,638
"1004964B","Industry","Federal","Award Project","UW Grant","Research - Sponsored",2,9,343,"Summer",122000,101
"1004990","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",32,12,1825,"Fall",43481,1099
"1005029","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",12,7,3066,"Fall",27100,218
"1005058","State","Federal","Award Project","UW Grant","Public Service - Sponsored",3,14,1779,"Spring",637563,60
"1005060","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",3,8,1794,"Spring",1839615,94
"1005074","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,13,1825,"Summer",274610,30
"1005075B","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",25,14,1460,"Summer",186269,106
"1005121","Institutions of Higher Education","Non-Federal","Award Project","UW Grant","Research - Sponsored",2,7,1521,"Summer",146351,60
"1005178","Institutions of Higher Education","Federal","Award Project","UW Grant","Instruction - Sponsored",2,7,1825,"Spring",41000,379
"1005188","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",5,10,1811,"Summer",281543,350
"1005205A","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,11,1825,"Fall",145164,152
"1005219","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",3,6,1460,"Summer",915652,46
"1005226F","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",3,6,364,"Fall",616255,0
"1005227F","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",3,6,364,"Fall",279232.85,2
"1005227G","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",3,6,364,"Fall",8606,24
"1005251","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,11,1460,"Fall",1769806,24
"1005253","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",5,10,1460,"Fall",135000,29
"1005262","State","Federal","Award Project","UW Grant","Public Service - Sponsored",2,3,1462,"Summer",1881000,58
"1005267","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",12,4,3651,"Spring",10000,1460
"1005271","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",25,6,1460,"Fall",232016.68,129
"1005271T","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",25,5,364,"Fall",14931,157
"1005271TCS","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",25,5,364,"Fall",808,90
"1005271TCS1","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",25,4,364,"Fall",572,90
"1005271U","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",25,5,364,"Fall",19034,29
"1005271UCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",25,5,364,"Fall",4329,152
"1005271VCS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",25,5,364,"Fall",2188,180
"1005274","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",6,6,1915,"Fall",6e+05,133
"1005278","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,3,1460,"Fall",507753,82
"1005279","Institutions of Higher Education","Non-Federal","Award Project","UW Grant","Research - Sponsored",1,6,1568,"Fall",78000,1011
"1005280","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",12,4,3728,"Spring",285306,888
"1005282D","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Instruction - Sponsored",1,3,364,"Fall",124916,0
"1005294","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",24,6,1825,"Fall",2471729.35,49
"1005294A","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",24,6,1563,"Fall",199649.02,77
"1005297","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",7,4,1796,"Summer",65000,395
"1005300","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,11,1460,"Fall",283540,79
"1005311","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",2,9,1582,"Fall",1e+05,91
"1005313","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",10,3,1460,"Summer",319120,30
"1005316","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,6,1434,"Fall",389129,92
"1005318C","State","Federal","Award Project","UW Grant","Public Service - Sponsored",9,4,364,"Fall",2267470.28,0
"1005319","State","Federal","Award Project","UW Grant","Public Service - Sponsored",3,5,1692,"Fall",940644,21
"1005323","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",3,5,1827,"Fall",46000,33
"1005337","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",2,9,1460,"Fall",362104,272
"1005342","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",10,4,1460,"Summer",202475,46
"1005352","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",2,7,1460,"Fall",606000,70
"1005359","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",3,11,1825,"Fall",307134,289
"1005365","State","Federal","Award Project","UW Grant","Public Service - Sponsored",11,13,1319,"Fall",28.53,510
"1005365D","State","Federal","Award Project","UW Grant","Public Service - Sponsored",5,8,1319,"Fall",0,73
"1005365D1","State","Federal","Award Project","UW Grant","Public Service - Sponsored",10,6,1319,"Fall",0,54
"1005365G","State","Federal","Award Project","UW Grant","Public Service - Sponsored",1,6,699,"Summer",640410,60
"1005365H","State","Federal","Award Project","UW Grant","Public Service - Sponsored",11,5,482,"Spring",222845,148
"1005368","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",3,6,1460,"Fall",326700,61
"1005368A","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",3,5,766,"Fall",16000,480
"1005369","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",2,13,1095,"Spring",387741,150
"1005370","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",32,10,1825,"Fall",43951,704
"1005370CS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",32,11,1826,"Fall",43951,312
"1005371","State","Federal","Award Project","UW Grant","Research - Sponsored",4,9,1415,"Fall",55525,85
"1005373","State","Federal","Award Project","UW Grant","Public Service - Sponsored",6,6,1864,"Fall",49300,610
"1005377","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",5,9,1794,"Fall",147812,21
"1005378","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",32,12,1825,"Fall",3e+05,980
"1005378A","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",32,12,1825,"Fall",1470791,637
"1005387","State","Federal","Award Project","UW Grant","Research - Sponsored",29,11,1317,"Fall",136037,70
"1005389","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",1,9,1460,"Summer",34748,540
"1005393","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",8,11,730,"Summer",552000,16
"1005396","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",23,5,1287,"Summer",3600,353
"1005400","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",2,3,1460,"Fall",305362,29
"1005406","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",9,11,1825,"Fall",187694.5,721
"1005411","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",6,9,1519,"Spring",586791,30
"1005412","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",3,9,1580,"Fall",187500,709
"1005412CS1","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",3,8,1580,"Fall",183139.84,496
"1005416","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",5,5,1368,"Fall",79856,163
"1005417","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",13,10,1397,"Fall",9800,178
"1005420","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,7,1149,"Fall",61910.1,134
"1005421A","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",1,5,1276,"Spring",20000,244
"1005426","Others","Non-Federal","Award Project","UW Grant","Research - Sponsored",16,6,1461,"Fall",4028660,34
"1005426A","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",16,6,1461,"Fall",2e+06,100
"1005426CS","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",16,5,1461,"Fall",8e+05,34
"1005426CS1","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",16,5,1461,"Fall",8e+05,154
"1005431","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",6,9,1203,"Fall",46542,310
"1005434","State","Federal","Award Project","UW Grant","Public Service - Sponsored",1,10,1215,"Spring",15000,262
"1005437","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",2,8,1095,"Summer",416976,30
"1005444E","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",5,10,1825,"Fall",46000,2
"1005445","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",4,4,1460,"Fall",272422,242
"1005450","State","Federal","Award Project","UW Grant","Public Service - Sponsored",2,4,1550,"Spring",1886062.76,63
"1005451","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",1,9,1064,"Spring",119393.5,113
"1005452","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",4,6,1460,"Fall",1055600.76,195
"1005456","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",10,5,1095,"Summer",475607,60
"1005468","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",1,7,1271,"Spring",337108.8,358
"1005472","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",9,10,1825,"Fall",8e+05,1
"1005472CS1","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",9,7,1825,"Fall",110728,29
"1005475","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",23,4,1426,"Spring",18000,143
"1005487","State","Federal","Award Project","UW Grant","Research - Sponsored",12,7,1751,"Spring",27631.26,626
"1005487A","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",12,7,1751,"Spring",6907.74,626
"1005491","State","Federal","Award Project","UW Grant","Research - Sponsored",10,6,1478,"Fall",78750,198
"1005494","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",12,4,3652,"Spring",15000,883
"1005510","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",6,8,914,"Spring",63160,209
"1005512","State","Federal","Award Project","UW Grant","Public Service - Sponsored",9,8,1278,"Spring",37507.02,75
"1005515","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",10,6,1186,"Spring",115789,76
"1005518","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",2,10,1449,"Spring",763791,1
"1005530","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",13,10,1057,"Spring",310637,46
"1005534","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",10,9,1460,"Spring",672641,3
"1005535","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",5,8,1460,"Summer",307500,60
"1005539","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",1,8,1327,"Fall",1500,842
"1005540","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",5,7,1459,"Spring",348840,101
"1005541IR","Others","Non-Federal","Cost Share Project","UW Grant","Public Service - Sponsored",16,6,1095,"Summer",5e+06,224
"1005545","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",5,8,1460,"Spring",311191,132
"1005546","State","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",1,7,1506,"Spring",320000,3
"1005554","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",11,9,1825,"Summer",1073615.94,6
"1005554CS","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",11,5,1825,"Summer",4e+06,118
"1005554CWC","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",11,5,1825,"Summer",398824,324
"1005554MGMT","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",11,5,1825,"Summer",893485.16,5
"1005554WEST","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",11,5,1825,"Summer",253125.01,239
"1005554WRIR","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",11,5,1825,"Summer",289966,436
"1005554WT1","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",11,5,1825,"Summer",5291862.88,91
"1005554WT2","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",11,5,1825,"Summer",1510859.58,121
"1005554WT3","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",11,5,1825,"Summer",2115919.48,121
"1005554WT4","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",11,5,1825,"Summer",729829.95,244
"1005570","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",2,6,949,"Spring",500,466
"1005571","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",2,7,1460,"Summer",397375,108
"1005580C","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",3,3,221,"Spring",15000,2
"1005585","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",3,6,1478,"Summer",307843,24
"1005585A","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",3,4,1478,"Summer",85552,172
"1005585PC","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",3,4,1478,"Summer",28800,158
"1005588","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",25,4,1489,"Summer",1,151
"1005588A","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",25,6,1217,"Summer",140276,132
"1005588B","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",25,5,1489,"Summer",170000,58
"1005590","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",1,9,1811,"Fall",383102,283
"1005591","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",2,9,1081,"Summer",263799,5
"1005596","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",4,7,1111,"Summer",10006.13,150
"1005597","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",2,10,1095,"Fall",386006,204
"1005598","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",4,5,1095,"Fall",1237494,5
"1005599","Industry","Federal","Award Project","UW Grant","Research - Sponsored",7,9,1095,"Summer",77562,136
"1005601","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",6,8,1925,"Summer",3e+05,145
"1005609","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",2,6,944,"Summer",2471,13
"1005613","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",13,9,1279,"Summer",45000,47
"1005618","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",5,6,1448,"Summer",474725,93
"1005629","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,7,1446,"Summer",510734,1
"1005632","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,6,1095,"Summer",582054,9
"1005638","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",8,13,1856,"Summer",2113522,51
"1005638A","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",8,8,1856,"Summer",319496,38
"1005638B","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",8,6,1856,"Summer",319496,402
"1005638C","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",8,8,1856,"Summer",361243,303
"1005638D","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",8,8,1856,"Summer",361243,155
"1005641","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",12,8,1825,"Spring",23650,425
"1005644","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Research - Sponsored",2,7,1236,"Spring",58000,88
"1005645","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",2,7,1552,"Fall",90032.08,240
"1005646","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",29,3,1054,"Summer",120000,546
"1005647","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",2,6,1460,"Summer",157361,76
"1005647A","Institutions of Higher Education","Federal","Award Project","UW Grant","Research - Sponsored",2,5,1460,"Summer",198000,493
"1005648D","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",2,7,364,"Fall",337950.78,3
"1005648E","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",2,6,364,"Fall",67760,1
"1005651","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",10,3,1279,"Summer",16387,608
"1005657","State","Non-Federal","Award Project","UW Grant","Research - Sponsored",10,4,1279,"Summer",15000,607
"1005659D","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",2,7,364,"Fall",322865.44,0
"1005659E","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",2,7,364,"Fall",73606.15,3
"1005660","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",12,3,1500,"Summer",223000,152
"1005661","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",3,8,2556,"Fall",6000,326
"1005663","State","Federal","Award Project","UW Grant","Research - Sponsored",10,5,1219,"Summer",120100,91
"1005664","Non Profit/Foundation","Non-Federal","Award Project","UW Grant","Public Service - Sponsored",12,4,3652,"Spring",15000,730
"1005666","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",9,9,1095,"Fall",99436,224
"1005667","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",6,6,1811,"Fall",192702,289
"1005669","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",2,13,1095,"Fall",991566,111
"1005672","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",7,6,1234,"Summer",229999.77,14
"1005673","Others","Non-Federal","Award Project","UW Grant","Research - Sponsored",3,5,888,"Summer",42851.35,65
"1005675","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",7,6,1211,"Fall",180093,8
"1005677","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,8,1446,"Summer",762886,2
"1005683","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",2,8,1095,"Fall",295985,29
"1005685","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",3,7,1077,"Fall",2255378,2
"1005686","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",2,7,1187,"Fall",399283.99,181
"1005687","State","Federal","Award Project","UW Grant","Research - Sponsored",10,4,2191,"Summer",288500,70
"1005690","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",9,4,1681,"Fall",118000,38
"1005690CS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",9,4,1681,"Fall",5000,206
"1005691","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",9,4,1698,"Fall",97865.18,147
"1005691CS","Unrestricted Operating","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",9,4,1698,"Fall",3480.5,359
"1005694","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,8,1460,"Fall",799998.65,154
"1005698","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,11,1095,"Fall",999999,100
"1005704","Industry","Non-Federal","Award Project","UW Grant","Research - Sponsored",4,8,999,"Fall",112284,253
"1005707","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",3,9,1033,"Fall",393148,20
"1005710","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",1,6,1093,"Fall",2e+05,354
"1005713","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",13,7,1825,"Fall",3e+05,165
"1005714","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",13,7,1827,"Fall",31692.63,732
"1005716","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Instruction - Sponsored",2,12,1095,"Fall",1200000,138
"1005719","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",3,7,1095,"Summer",858892,190
"1005720","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Public Service - Sponsored",10,7,789,"Spring",243101.69,3
"1005721","Federal Direct Sponsored Funds","Federal","Award Project","UW Grant","Research - Sponsored",4,6,1460,"Fall",50000,127
"1005721CS1","Others","Non-Federal","Cost Share Project","UW Grant Cost Share","Research - Sponsored",1,4,1460,"Fall",12500,60
